dates,Soybean futures prices,Log-return,moving averages,relative strength index
03/09/2019 21:05,3596,,,
03/09/2019 21:10,3599,0.000833912,,
03/09/2019 21:15,3595,-0.001112038,,
03/09/2019 21:20,3604,0.002500349,,
03/09/2019 21:25,3604,0,3599.6,
03/09/2019 21:30,3604,0,3601.2,
03/09/2019 21:35,3601,-0.000832755,3601.6,
03/09/2019 21:40,3595,-0.001667593,3601.6,
03/09/2019 21:45,3592,-0.000834841,3599.2,
03/09/2019 21:50,3593,0.000278358,3597,
03/09/2019 21:55,3594,0.00027828,3595,
03/09/2019 22:00,3594,0,3593.6,
03/09/2019 22:05,3593,-0.00027828,3593.2,A是正数  B是负数
03/09/2019 22:10,3592,-0.000278358,3593.2,
03/09/2019 22:15,3593,0.000278358,3593.2,
03/09/2019 22:20,3593,0,3593,
03/09/2019 22:25,3592,-0.000278358,3592.6,
03/09/2019 22:30,3596,0.001112966,3593.2,
03/09/2019 22:35,3592,-0.001112966,3593.2,
03/09/2019 22:40,3596,0.001112966,3593.8,
03/09/2019 22:45,3598,0.000556019,3594.8,
03/09/2019 22:50,3597,-0.000277971,3595.8,
03/09/2019 22:55,3592,-0.001391014,3595,
03/09/2019 23:00,3593,0.000278358,3595.2,
04/09/2019 09:05,3584,-0.002508013,3592.8,
04/09/2019 09:10,3579,-0.001396063,3589,
04/09/2019 09:15,3581,0.000558659,3585.8,
04/09/2019 09:20,3572,-0.002516428,3581.8,
04/09/2019 09:25,3576,0.001119194,3578.4,
04/09/2019 09:30,3578,0.000559128,3577.2,
04/09/2019 09:35,3576,-0.000559128,3576.6,
04/09/2019 09:40,3575,-0.000279681,3575.4,
04/09/2019 09:45,3575,0,3576,
04/09/2019 09:50,3577,0.000559284,3576.2,
04/09/2019 09:55,3577,0,3576,
04/09/2019 10:00,3578,0.000279525,3576.4,
04/09/2019 10:05,3575,-0.000838809,3576.4,
04/09/2019 10:10,3576,0.000279681,3576.6,
04/09/2019 10:15,3576,0,3576.4,
04/09/2019 10:35,3575,-0.000279681,3576,
04/09/2019 10:40,3581,0.001676915,3576.6,
04/09/2019 10:45,3584,0.000837404,3578.4,
04/09/2019 10:50,3582,-0.000558191,3579.6,
04/09/2019 10:55,3585,0.00083717,3581.4,
04/09/2019 11:00,3583,-0.000558036,3583,
04/09/2019 11:05,3586,0.000836937,3584,
04/09/2019 11:10,3586,0,3584.4,
04/09/2019 11:15,3582,-0.001116072,3584.4,
04/09/2019 11:20,3581,-0.000279213,3583.6,
04/09/2019 11:25,3584,0.000837404,3583.8,
04/09/2019 11:30,3583,-0.000279057,3583.2,
04/09/2019 13:35,3588,0.001394506,3583.6,
04/09/2019 13:40,3592,0.001114206,3585.6,
04/09/2019 13:45,3591,-0.000278435,3587.6,
04/09/2019 13:50,3585,-0.001672241,3587.8,
04/09/2019 13:55,3586,0.000278901,3588.4,
04/09/2019 14:00,3591,0.00139334,3589,
04/09/2019 14:05,3588,-0.000835771,3588.2,
04/09/2019 14:10,3591,0.000835771,3588.2,
04/09/2019 14:15,3590,-0.000278513,3589.2,
04/09/2019 14:20,3595,0.001391789,3591,
04/09/2019 14:25,3593,-0.000556483,3591.4,
04/09/2019 14:30,3586,-0.001950133,3591,
04/09/2019 14:35,3582,-0.001116072,3589.2,
04/09/2019 14:40,3583,0.000279135,3587.8,
04/09/2019 14:45,3584,0.000279057,3585.6,
04/09/2019 14:50,3582,-0.000558191,3583.4,
04/09/2019 14:55,3582,0,3582.6,
04/09/2019 15:00,3578,-0.001117319,3581.8,
04/09/2019 21:05,3586,0.00223339,3582.4,
04/09/2019 21:10,3585,-0.000278901,3582.6,
04/09/2019 21:15,3587,0.000557724,3583.6,
04/09/2019 21:20,3586,-0.000278823,3584.4,
04/09/2019 21:25,3589,0.000836237,3586.6,
04/09/2019 21:30,3590,0.00027859,3587.4,
04/09/2019 21:35,3586,-0.001114827,3587.6,
04/09/2019 21:40,3586,0,3587.4,
04/09/2019 21:45,3584,-0.00055788,3587,
04/09/2019 21:50,3584,0,3586,
04/09/2019 21:55,3583,-0.000279057,3584.6,
04/09/2019 22:00,3579,-0.001117007,3583.2,
04/09/2019 22:05,3580,0.000279369,3582,
04/09/2019 22:10,3576,-0.001117943,3580.4,
04/09/2019 22:15,3574,-0.000559441,3578.4,
04/09/2019 22:20,3577,0.000839044,3577.2,
04/09/2019 22:25,3577,0,3576.8,
04/09/2019 22:30,3576,-0.000279603,3576,
04/09/2019 22:35,3575,-0.000279681,3575.8,
04/09/2019 22:40,3574,-0.000279759,3575.8,
04/09/2019 22:45,3574,0,3575.2,
04/09/2019 22:50,3573,-0.000279838,3574.4,
04/09/2019 22:55,3573,0,3573.8,
04/09/2019 23:00,3577,0.001118881,3574.2,
05/09/2019 09:05,3583,0.001675978,3576,
05/09/2019 09:10,3581,-0.000558347,3577.4,
05/09/2019 09:15,3567,-0.003917185,3576.2,
05/09/2019 09:20,3569,0.000560538,3575.4,
05/09/2019 09:25,3567,-0.000560538,3573.4,
05/09/2019 09:30,3552,-0.004214081,3567.2,
05/09/2019 09:35,3539,-0.003666624,3558.8,
05/09/2019 09:40,3536,-0.000848057,3552.6,
05/09/2019 09:45,3539,0.000848057,3546.6,
05/09/2019 09:50,3535,-0.001130902,3540.2,
05/09/2019 09:55,3536,0.000282845,3537,
05/09/2019 10:00,3532,-0.001131862,3535.6,
05/09/2019 10:05,3531,-0.000283166,3534.6,
05/09/2019 10:10,3538,0.001980479,3534.4,
05/09/2019 10:15,3539,0.000282606,3535.2,
05/09/2019 10:30,3536,-0.000848057,3535.2,
05/09/2019 10:35,3539,0.000848057,3536.6,
05/09/2019 10:40,3537,-0.000565291,3537.8,
05/09/2019 10:45,3543,0.001694916,3538.8,
05/09/2019 10:50,3541,-0.000564653,3539.2,
05/09/2019 10:55,3544,0.00084686,3540.8,
05/09/2019 11:00,3544,0,3541.8,
05/09/2019 11:05,3548,0.001128032,3544,
05/09/2019 11:10,3550,0.000563539,3545.4,
05/09/2019 11:15,3548,-0.000563539,3546.8,
05/09/2019 11:20,3548,0,3547.6,
05/09/2019 11:25,3545,-0.000845904,3547.8,
05/09/2019 11:30,3545,0,3547.2,
05/09/2019 13:35,3543,-0.000564334,3545.8,
05/09/2019 13:40,3539,-0.001129625,3544,
05/09/2019 13:45,3542,0.000847338,3542.8,
05/09/2019 13:50,3545,0.000846621,3542.8,
05/09/2019 13:55,3540,-0.001411433,3541.8,
05/09/2019 14:00,3535,-0.001413428,3540.2,
05/09/2019 14:05,3542,0.00197824,3540.8,
05/09/2019 14:10,3546,0.001128668,3541.6,
05/09/2019 14:15,3546,0,3541.8,
05/09/2019 14:20,3542,-0.001128668,3542.2,
05/09/2019 14:25,3544,0.000564493,3544,
05/09/2019 14:30,3541,-0.00084686,3543.8,
05/09/2019 14:35,3542,0.000282366,3543,
05/09/2019 14:40,3541,-0.000282366,3542,
05/09/2019 14:45,3536,-0.001413028,3540.8,
05/09/2019 14:50,3539,0.000848057,3539.8,
05/09/2019 14:55,3536,-0.000848057,3538.8,
05/09/2019 15:00,3531,-0.001415028,3536.6,
05/09/2019 21:05,3541,0.002828056,3536.6,
05/09/2019 21:10,3541,0,3537.6,
05/09/2019 21:15,3542,0.000282366,3538.2,
05/09/2019 21:20,3546,0.001128668,3540.2,
05/09/2019 21:25,3545,-0.000282048,3543,
05/09/2019 21:30,3545,0,3543.8,
05/09/2019 21:35,3538,-0.001976564,3543.2,
05/09/2019 21:40,3541,0.000847577,3543,
05/09/2019 21:45,3533,-0.002261805,3540.4,
05/09/2019 21:50,3536,0.000848776,3538.6,
05/09/2019 21:55,3533,-0.000848776,3536.2,
05/09/2019 22:00,3529,-0.001132824,3534.4,
05/09/2019 22:05,3524,-0.001417837,3531,
05/09/2019 22:10,3526,0.000567376,3529.6,
05/09/2019 22:15,3525,-0.000283648,3527.4,
05/09/2019 22:20,3506,-0.00540465,3522,
05/09/2019 22:25,3492,-0.004001149,3514.6,
05/09/2019 22:30,3470,-0.006320044,3503.8,
05/09/2019 22:35,3479,0.002590302,3494.4,
05/09/2019 22:40,3478,-0.00028748,3485,
05/09/2019 22:45,3474,-0.001150748,3478.6,
05/09/2019 22:50,3479,0.001438228,3476,
05/09/2019 22:55,3484,0.001436163,3478.8,
05/09/2019 23:00,3477,-0.002011206,3478.4,
06/09/2019 09:05,3478,0.000287563,3478.4,
06/09/2019 09:10,3479,0.00028748,3479.4,
06/09/2019 09:15,3481,0.000574713,3479.8,
06/09/2019 09:20,3479,-0.000574713,3478.8,
06/09/2019 09:25,3475,-0.001150417,3478.4,
06/09/2019 09:30,3476,0.000287728,3478,
06/09/2019 09:35,3474,-0.00057554,3477,
06/09/2019 09:40,3473,-0.000287894,3475.4,
06/09/2019 09:45,3469,-0.001152406,3473.4,
06/09/2019 09:50,3465,-0.001153735,3471.4,
06/09/2019 09:55,3465,0,3469.2,
06/09/2019 10:00,3463,-0.000577367,3467,
06/09/2019 10:05,3465,0.000577367,3465.4,
06/09/2019 10:10,3459,-0.001733103,3463.4,
06/09/2019 10:15,3455,-0.001157073,3461.4,
06/09/2019 10:30,3458,0.00086793,3460,
06/09/2019 10:35,3459,0.000289143,3459.2,
06/09/2019 10:40,3464,0.001444461,3459,
06/09/2019 10:45,3461,-0.000866426,3459.4,
06/09/2019 10:50,3465,0.001155068,3461.4,
06/09/2019 10:55,3465,0,3462.8,
06/09/2019 11:00,3464,-0.000288642,3463.8,
06/09/2019 11:05,3462,-0.000577534,3463.4,
06/09/2019 11:10,3461,-0.000288892,3463.4,
06/09/2019 11:15,3462,0.000288892,3462.8,
06/09/2019 11:20,3464,0.000577534,3462.6,
06/09/2019 11:25,3462,-0.000577534,3462.2,
06/09/2019 11:30,3461,-0.000288892,3462,
06/09/2019 13:35,3463,0.000577701,3462.4,
06/09/2019 13:40,3469,0.001731103,3463.8,
06/09/2019 13:45,3468,-0.000288309,3464.6,
06/09/2019 13:50,3469,0.000288309,3466,
06/09/2019 13:55,3468,-0.000288309,3467.4,
06/09/2019 14:00,3475,0.00201642,3469.8,
06/09/2019 14:05,3473,-0.000575705,3470.6,
06/09/2019 14:10,3471,-0.000576037,3471.2,
06/09/2019 14:15,3471,0,3471.6,
06/09/2019 14:20,3467,-0.00115307,3471.4,
06/09/2019 14:25,3474,0.002017001,3471.2,
06/09/2019 14:30,3476,0.00057554,3471.8,
06/09/2019 14:35,3475,-0.000287728,3472.6,
06/09/2019 14:40,3473,-0.000575705,3473,
06/09/2019 14:45,3471,-0.000576037,3473.8,
06/09/2019 14:50,3464,-0.002018746,3471.8,
06/09/2019 14:55,3456,-0.00231214,3467.8,
